timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1560943485798,15493,AboutPage,200,OK,Thread Group 1-19,text,true,,35975,125,17,17,http://lifecharger.org/about/,14537,0,286
1560943490285,12970,Archives,200,OK,Thread Group 1-4,text,true,,45290,128,17,17,http://lifecharger.org/archives/,12040,0,270
1560943494320,12997,Archives,200,OK,Thread Group 1-6,text,true,,45297,128,16,16,http://lifecharger.org/archives/,12050,0,281
1560943496293,12999,Archives,200,OK,Thread Group 1-11,text,true,,45311,128,15,15,http://lifecharger.org/archives/,12039,0,272
1560943497574,11718,Archives,200,OK,Thread Group 1-13,text,true,,45304,128,15,15,http://lifecharger.org/archives/,10770,0,271
1560943497225,13020,Archives,200,OK,Thread Group 1-12,text,true,,45290,128,13,13,http://lifecharger.org/archives/,12050,0,287
1560943492513,17755,Archives,200,OK,Thread Group 1-1,text,true,,45290,128,12,12,http://lifecharger.org/archives/,16804,0,268
1560943496345,14459,Archives,200,OK,Thread Group 1-5,text,true,,45296,128,11,11,http://lifecharger.org/archives/,13899,0,281
1560943498557,12270,Archives,200,OK,Thread Group 1-20,text,true,,45296,128,10,10,http://lifecharger.org/archives/,11727,0,287
1560943498227,12627,Archives,200,OK,Thread Group 1-15,text,true,,45303,128,9,9,http://lifecharger.org/archives/,12087,0,270
1560943498564,12692,Archives,200,OK,Thread Group 1-16,text,true,,45303,128,8,8,http://lifecharger.org/archives/,11783,0,294
1560943496265,15016,Archives,200,OK,Thread Group 1-14,text,true,,45297,128,7,7,http://lifecharger.org/archives/,14108,0,298
1560943498577,12708,Archives,200,OK,Thread Group 1-8,text,true,,45290,128,6,6,http://lifecharger.org/archives/,11811,0,271
1560943499244,12567,Archives,200,OK,Thread Group 1-17,text,true,,45303,128,5,5,http://lifecharger.org/archives/,12024,0,272
1560943498227,13609,Archives,200,OK,Thread Group 1-10,text,true,,45303,128,4,4,http://lifecharger.org/archives/,13064,0,271
1560943501289,10588,Archives,200,OK,Thread Group 1-18,text,true,,45290,128,3,3,http://lifecharger.org/archives/,10050,0,269
1560943501292,10615,Archives,200,OK,Thread Group 1-19,text,true,,45290,128,2,2,http://lifecharger.org/archives/,10074,0,269
1560943500326,11592,Archives,200,OK,Thread Group 1-9,text,true,,45290,128,1,1,http://lifecharger.org/archives/,11044,0,270
