timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1561733147184,5,HTTP Request,200,OK,Thread Group 1-4,text,true,,12602,118,3,3,http://127.0.0.1:9090/,5,0,0
1561733147183,7,HTTP Request,200,OK,Thread Group 1-5,text,true,,12603,118,4,4,http://127.0.0.1:9090/,7,0,1
1561733147190,5,HTTP Request,200,OK,Thread Group 1-5,text,true,,12603,118,3,3,http://127.0.0.1:9090/,5,0,0
1561733147186,11,HTTP Request,200,OK,Thread Group 1-6,text,true,,12603,118,3,3,http://127.0.0.1:9090/,11,0,0
1561733147190,7,HTTP Request,200,OK,Thread Group 1-7,text,true,,12604,118,3,3,http://127.0.0.1:9090/,7,0,0
1561733147197,4,HTTP Request,200,OK,Thread Group 1-6,text,true,,12603,118,3,3,http://127.0.0.1:9090/,4,0,0
1561733147197,5,HTTP Request,200,OK,Thread Group 1-7,text,true,,12604,118,3,3,http://127.0.0.1:9090/,5,0,0
1561733147195,12,HTTP Request,200,OK,Thread Group 1-5,text,true,,12603,118,3,3,http://127.0.0.1:9090/,12,0,0
1561733147202,6,HTTP Request,200,OK,Thread Group 1-7,text,true,,12604,118,3,3,http://127.0.0.1:9090/,6,0,0
1561733147201,7,HTTP Request,200,OK,Thread Group 1-6,text,true,,12602,118,3,3,http://127.0.0.1:9090/,7,0,1
1561733147207,5,HTTP Request,200,OK,Thread Group 1-5,text,true,,12602,118,4,4,http://127.0.0.1:9090/,5,0,0
1561733147208,5,HTTP Request,200,OK,Thread Group 1-7,text,true,,12603,118,3,3,http://127.0.0.1:9090/,5,0,0
1561733147208,6,HTTP Request,200,OK,Thread Group 1-6,text,true,,12604,118,3,3,http://127.0.0.1:9090/,6,0,0
1561733147209,9,HTTP Request,200,OK,Thread Group 1-8,text,true,,12603,118,3,3,http://127.0.0.1:9090/,9,0,0
1561733147213,6,HTTP Request,200,OK,Thread Group 1-7,text,true,,12602,118,3,3,http://127.0.0.1:9090/,6,0,0
1561733147218,5,HTTP Request,200,OK,Thread Group 1-8,text,true,,12603,118,3,3,http://127.0.0.1:9090/,5,0,0
1561733147220,4,HTTP Request,200,OK,Thread Group 1-7,text,true,,12604,118,3,3,http://127.0.0.1:9090/,4,0,0
1561733147214,10,HTTP Request,200,OK,Thread Group 1-6,text,true,,12604,118,3,3,http://127.0.0.1:9090/,10,0,1
1561733147223,4,HTTP Request,200,OK,Thread Group 1-8,text,true,,12603,118,3,3,http://127.0.0.1:9090/,4,0,0
1561733147227,7,HTTP Request,200,OK,Thread Group 1-8,text,true,,12603,118,4,4,http://127.0.0.1:9090/,7,0,1
